  75.41800:  102.10632383 x 10^(-38) cm2
  76.52400:  103.56744422 x 10^(-38) cm2
  77.64600:  105.05055984 x 10^(-38) cm2
  78.78400:  106.56427422 x 10^(-38) cm2
  79.94000:  108.10671457 x 10^(-38) cm2
  81.11200:  109.68892075 x 10^(-38) cm2
  82.30100:  111.30025174 x 10^(-38) cm2
  83.50800:  112.96212492 x 10^(-38) cm2
  84.73200:  114.66050922 x 10^(-38) cm2
  85.97500:  116.39685523 x 10^(-38) cm2
  87.23500:  118.16578633 x 10^(-38) cm2
  88.51400:  119.96435207 x 10^(-38) cm2
  89.81200:  121.78669105 x 10^(-38) cm2
  91.12900:  123.62841989 x 10^(-38) cm2
  92.46500:  125.48006545 x 10^(-38) cm2
  93.82100:  127.33082703 x 10^(-38) cm2
  95.19700:  129.18027510 x 10^(-38) cm2
  96.59300:  131.03624085 x 10^(-38) cm2
  98.00900:  132.90927553 x 10^(-38) cm2
  99.44600:  134.80769637 x 10^(-38) cm2
 100.90000:  136.73774407 x 10^(-38) cm2
 102.38000:  138.71671523 x 10^(-38) cm2
 103.88000:  140.74638742 x 10^(-38) cm2
 105.41000:  142.80999988 x 10^(-38) cm2
 106.95000:  144.92369667 x 10^(-38) cm2
 108.52000:  147.06806999 x 10^(-38) cm2
 110.11000:  149.25036242 x 10^(-38) cm2
 111.73000:  151.45377342 x 10^(-38) cm2
 113.37000:  153.68979746 x 10^(-38) cm2
 115.03000:  155.95096706 x 10^(-38) cm2
 116.71000:  158.22170336 x 10^(-38) cm2
 118.43000:  160.50214285 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 11204.4593473 x 10^(-38) cm^2
