  87.23500:    9.70832876 x 10^(-38) cm2
  88.51400:    9.85755388 x 10^(-38) cm2
  89.81200:   10.00880783 x 10^(-38) cm2
  91.12900:   10.16145443 x 10^(-38) cm2
  92.46500:   10.31479896 x 10^(-38) cm2
  93.82100:   10.46809014 x 10^(-38) cm2
  95.19700:   10.62104184 x 10^(-38) cm2
  96.59300:   10.77432085 x 10^(-38) cm2
  98.00900:   10.92876110 x 10^(-38) cm2
  99.44600:   11.08524785 x 10^(-38) cm2
 100.90000:   11.24478597 x 10^(-38) cm2
 102.38000:   11.40813849 x 10^(-38) cm2
 103.88000:   11.57526850 x 10^(-38) cm2
 105.41000:   11.74604103 x 10^(-38) cm2
 106.95000:   11.92030316 x 10^(-38) cm2
 108.52000:   12.09788234 x 10^(-38) cm2
 110.11000:   12.27851165 x 10^(-38) cm2
 111.73000:   12.46174463 x 10^(-38) cm2
 113.37000:   12.64707281 x 10^(-38) cm2
 115.03000:   12.83393981 x 10^(-38) cm2
 116.71000:   13.02174110 x 10^(-38) cm2
 118.43000:   13.21029844 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 918.07076413 x 10^(-38) cm^2
