  26.44300:   68.89789996 x 10^(-38) cm2
  26.83100:   69.88139557 x 10^(-38) cm2
  27.22400:   70.89641823 x 10^(-38) cm2
  27.62300:   71.93615770 x 10^(-38) cm2
  28.02800:   72.98852216 x 10^(-38) cm2
  28.43900:   74.05200795 x 10^(-38) cm2
  28.85600:   75.11744030 x 10^(-38) cm2
  29.27900:   76.18183193 x 10^(-38) cm2
  29.70900:   77.24627985 x 10^(-38) cm2
  30.14400:   78.30768661 x 10^(-38) cm2
  30.58600:   79.38144701 x 10^(-38) cm2
  31.03500:   80.46785784 x 10^(-38) cm2
  31.49000:   81.57664556 x 10^(-38) cm2
  31.95200:   82.71087494 x 10^(-38) cm2
  32.42000:   83.86972174 x 10^(-38) cm2
  32.89600:   85.04806096 x 10^(-38) cm2
  33.37800:   86.24425629 x 10^(-38) cm2
  33.86700:   87.45189658 x 10^(-38) cm2
  34.36400:   88.66642392 x 10^(-38) cm2
  34.86800:   89.89251538 x 10^(-38) cm2
  35.37900:   91.14739483 x 10^(-38) cm2
  35.89800:   92.41944551 x 10^(-38) cm2
  36.42400:   93.72947747 x 10^(-38) cm2
  36.95800:   95.07313587 x 10^(-38) cm2
  37.50000:   96.44483396 x 10^(-38) cm2
  38.05000:   97.83421056 x 10^(-38) cm2
  38.60800:   99.23666275 x 10^(-38) cm2
  39.17400:  100.63706683 x 10^(-38) cm2
  39.74800:  102.04440732 x 10^(-38) cm2
  40.33100:  103.46133673 x 10^(-38) cm2
  40.92300:  104.89337863 x 10^(-38) cm2
  41.52300:  106.34956033 x 10^(-38) cm2
  42.13100:  107.83145277 x 10^(-38) cm2
  42.74900:  109.34261785 x 10^(-38) cm2
  43.37600:  110.88098610 x 10^(-38) cm2
  44.01200:  112.45038992 x 10^(-38) cm2
  44.65700:  114.04371731 x 10^(-38) cm2
  45.31200:  115.66820737 x 10^(-38) cm2
  45.97700:  117.32452302 x 10^(-38) cm2
  46.65100:  119.01273437 x 10^(-38) cm2
  47.33500:  120.73709362 x 10^(-38) cm2
  48.02900:  122.48448986 x 10^(-38) cm2
  48.73300:  124.26001095 x 10^(-38) cm2
  49.44800:  126.05233299 x 10^(-38) cm2
  50.17300:  127.86665155 x 10^(-38) cm2
  50.90800:  129.70087097 x 10^(-38) cm2
  51.65500:  131.54899449 x 10^(-38) cm2
  52.41200:  133.41524027 x 10^(-38) cm2
  53.18100:  135.30052508 x 10^(-38) cm2
  53.96000:  137.20937919 x 10^(-38) cm2
  54.75200:  139.15030731 x 10^(-38) cm2
  55.55400:  141.12387559 x 10^(-38) cm2
  56.36900:  143.13097170 x 10^(-38) cm2
  57.19600:  145.17310168 x 10^(-38) cm2
  58.03400:  147.24978550 x 10^(-38) cm2
  58.88500:  149.34444214 x 10^(-38) cm2
  59.74900:  151.45462848 x 10^(-38) cm2
  60.62500:  153.57551903 x 10^(-38) cm2
  61.51400:  155.71238190 x 10^(-38) cm2
  62.41600:  157.87887339 x 10^(-38) cm2
  63.33100:  160.08109151 x 10^(-38) cm2
  64.25900:  162.34321672 x 10^(-38) cm2
  65.20200:  164.66785876 x 10^(-38) cm2
  66.15800:  167.05697882 x 10^(-38) cm2
  67.12800:  169.49677394 x 10^(-38) cm2
  68.11200:  171.97104558 x 10^(-38) cm2
  69.11100:  174.47141197 x 10^(-38) cm2
  70.12400:  176.98795784 x 10^(-38) cm2
  71.15200:  179.50245067 x 10^(-38) cm2
  72.19500:  182.02172006 x 10^(-38) cm2
  73.25400:  184.54881552 x 10^(-38) cm2
  74.32800:  187.08561062 x 10^(-38) cm2
  75.41800:  189.63124000 x 10^(-38) cm2
  76.52400:  192.19699090 x 10^(-38) cm2
